,NAME10,Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation,Crime,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,SVI
179,1504.01,0.5089,0.8695,0.6165,0.3443,5077,1.3,28.1,9.3,1.0,0.57
180,1504.02,0.5369,0.6361,0.6113,0.3842,4185,4.5,33.6,2.7,0.0,0.5384
181,1505.01,0.2921,0.3603,0.6319,0.5756,2766,0.2,26.2,9.7,0.0,0.4171
182,1505.02,0.5525,0.6956,0.5923,0.8378,4265,2.4,27.7,9.0,0.0,0.7033
183,1506.0,0.567,0.4607,0.7074,0.3071,5011,2.0,42.9,9.5,0.8,0.4997
184,1507.0,0.6345,0.9622,0.7191,0.3999,5070,2.2,47.2,7.3,0.0,0.7113
185,1508.0,0.7755,0.1486,0.7436,0.3409,6999,2.2,53.5,1.3,0.0,0.5571
186,1510.01,0.7211,0.4413,0.7977,0.3308,4291,1.1,66.2,5.6,0.0,0.6069
187,1510.02,0.8019,0.6014,0.8149,0.8495,7551,1.7,72.1,1.4,0.0,0.8504
188,1511.0,0.7604,0.5648,0.7697,0.5445,7781,1.1,60.2,5.4,0.0,0.7187
189,1512.0,0.6938,0.3016,0.6908,0.4555,6685,0.6,46.2,5.4,0.0,0.5792
190,1601.0,0.6797,0.8824,0.6583,0.6619,3008,0.0,24.8,16.5,0.6,0.7623
191,1602.0,0.3388,0.3667,0.5784,0.5319,4401,2.0,18.4,11.9,0.0,0.4168
192,1603.0,0.6053,0.2512,0.5987,0.902,5042,6.6,13.8,14.7,0.9,0.6714
193,1604.0,0.7654,0.2918,0.6432,0.9251,6508,2.5,30.0,9.5,0.0,0.7869
194,1605.01,0.8182,0.3206,0.813,0.7165,5213,5.1,55.4,14.8,0.0,0.7558
195,1605.02,0.7371,0.3913,0.7946,0.516,4337,1.3,62.4,7.5,0.0,0.6671
196,1606.01,0.5464,0.2764,0.6319,0.8618,4086,2.5,34.3,3.9,0.0,0.6265
197,1606.02,0.6066,0.3566,0.7369,0.3603,3950,3.7,45.1,7.9,0.0,0.5295
198,1607.0,0.6139,0.0863,0.7224,0.4506,8004,2.6,45.3,8.8,0.0,0.457
199,1608.0,0.8523,0.2202,0.7888,0.6139,9132,0.8,62.6,5.3,0.0,0.7224
200,1609.0,0.348,0.0921,0.6518,0.629,5014,2.1,28.9,11.6,0.0,0.3639
201,1610.0,0.4392,0.2617,0.5972,0.7789,4163,2.3,30.1,5.1,0.0,0.5344
202,1611.0,0.0513,0.125,0.5373,0.5135,4248,5.8,19.1,5.7,0.0,0.1698
203,1612.0,0.7998,0.496,0.7746,0.3719,3943,2.3,59.9,3.4,0.2,0.6769
204,1613.0,0.8578,0.5826,0.731,0.7835,7961,2.6,52.2,3.3,0.2,0.8409
205,1701.0,0.8375,0.7131,0.3457,0.8553,2482,4.9,7.1,7.5,0.0,0.8363
206,1702.0,0.4509,0.2346,0.6632,0.457,4117,0.1,44.2,3.6,0.0,0.4312
