,geoid10,ID
617,17031680900,25102
618,17031681000,18587
619,17031681100,20832
620,17031681200,15863
621,17031681300,14856
622,17031681400,15386
623,17031690300,11497
624,17031690400,19039
625,17031690500,5354
626,17031690900,16957
627,17031691000,11600
628,17031691100,16077
629,17031691200,18264
630,17031691300,10678
631,17031691400,15126
632,17031691500,13655
633,17031700100,9367
634,17031700200,8326
635,17031700301,5451
636,17031700302,5045
637,17031700401,11747
638,17031700402,4876
639,17031700501,13020
640,17031700502,3736
641,17031710100,6660
642,17031710200,22428
643,17031710300,7265
644,17031710400,18672
645,17031710500,16602
646,17031710600,9502
647,17031710700,12577
648,17031710800,21313
649,17031710900,13397
650,17031711000,13546
651,17031711100,10953
652,17031711200,12120
653,17031711300,4869
654,17031711400,10610
655,17031711500,8162
656,17031720100,5849
657,17031720200,5466
658,17031720300,3467
659,17031720400,1752
660,17031720500,1842
661,17031720600,1846
662,17031720700,4774
663,17031730100,6275
664,17031730201,17261
665,17031730202,7031
666,17031730300,4071
667,17031730400,11859
668,17031730500,12796
669,17031730600,9128
670,17031730700,10564
671,17031740100,3462
672,17031740200,3328
673,17031740300,3581
674,17031740400,4133
675,17031750100,11241
676,17031750200,4773
677,17031750300,2670
678,17031750400,3576
679,17031750500,17044
680,17031750600,14379
681,17031760801,3673
682,17031760802,1041
683,17031760803,5184
684,17031770602,81
685,17031770902,795
686,17031810400,1204
687,17031821402,54
688,17031823304,145
689,17031830500,7513
690,17031830600,9584
691,17031830700,18197
692,17031830800,3737
693,17031830900,12692
694,17031831000,5081
695,17031831100,14990
696,17031831200,7836
697,17031831300,9413
698,17031831400,12346
699,17031831500,10234
700,17031831600,10003
701,17031831700,7021
702,17031831800,8415
703,17031831900,3379
704,17031832000,7737
705,17031832100,4930
706,17031832200,4932
707,17031832300,7984
708,17031832400,5546
709,17031832500,9451
710,17031832600,9748
711,17031832900,2418
712,17031833000,22117
713,17031833100,14184
714,17031833300,3443
715,17031833900,11759
716,17031834000,14067
717,17031834200,25971
718,17031834300,21069
719,17031834400,10319
720,17031834500,8409
721,17031834600,20129
722,17031834700,14708
723,17031834800,12019
724,17031834900,13576
725,17031835000,25379
726,17031835100,13178
727,17031835200,4558
728,17031835500,8305
729,17031835600,10966
730,17031835700,3146
731,17031835800,6732
732,17031835900,12905
733,17031836000,7831
734,17031836100,12616
735,17031836200,5918
736,17031836300,2535
737,17031836400,7737
738,17031836500,4647
739,17031836600,11837
740,17031836700,12690
741,17031836800,14272
742,17031836900,6206
743,17031837000,11131
744,17031837100,9992
745,17031837300,10547
746,17031837400,9852
747,17031837800,17189
748,17031838000,11802
749,17031838100,11442
750,17031838200,9491
751,17031838300,10533
752,17031838600,5853
753,17031838700,22851
754,17031838800,13134
755,17031839000,13471
756,17031839100,71877
757,17031839200,11079
758,17031839500,6069
759,17031839600,9849
760,17031839700,6725
761,17031839800,3697
762,17031839900,6298
763,17031840000,2772
764,17031840100,2961
765,17031840200,5311
766,17031840300,6866
767,17031840400,8069
768,17031840700,10698
769,17031840800,5306
770,17031841000,17880
771,17031841100,12123
772,17031841200,8865
773,17031841300,9166
774,17031841400,6685
775,17031841500,15924
776,17031841600,3957
777,17031841700,5477
778,17031841800,13549
779,17031841900,24477
780,17031842000,5651
781,17031842100,22600
782,17031842200,24597
783,17031842300,15476
784,17031842400,28902
785,17031842500,10205
786,17031842600,14147
787,17031842800,13117
788,17031842900,20546
789,17031843000,20365
790,17031843100,11511
791,17031843200,8435
792,17031843300,7520
793,17031843400,8928
794,17031843500,6966
795,17031843600,9594
796,17031843700,5841
797,17031843800,9032
798,17031843900,15401
799,17031980000,24385
800,17031980100,6510
